"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","7670","0.0-0.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","23648","0.0-1.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11293},{""page_index"":1,""viewing_time"":2917},{""page_index"":2,""viewing_time"":1767}]","15977","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","26399","0.0-2.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","1748","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","37214","0.0-3.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10814}]","10814","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","49498","0.0-4.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","12282","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","50500","0.0-5.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","58130","0.0-6.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","7628","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","59131","0.0-7.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","64647","0.0-8.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","5514","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","65650","0.0-9.0","8634A23A86824ABF809C40D7E90F23B3","01a0b64c-e095-78ce-8c42-aac7f73bf3a6","01a0b63e-f3c4-73c1-924b-64c6ead9c2a5","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
