"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","5707","0.0-0.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","38726","0.0-1.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","[{""page_index"":0,""viewing_time"":13207},{""page_index"":1,""viewing_time"":7247},{""page_index"":2,""viewing_time"":12565}]","33019","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","41915","0.0-2.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","2187","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","52535","0.0-3.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","[{""page_index"":0,""viewing_time"":10620}]","10620","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","64586","0.0-4.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","12050","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","65587","0.0-5.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","73170","0.0-6.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","7583","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","74171","0.0-7.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","81103","0.0-8.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","6932","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","82104","0.0-9.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","89435","0.0-10.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","7330","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","90436","0.0-11.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","100816","0.0-12.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","[{""page_index"":0,""viewing_time"":10380}]","10380","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","111650","0.0-13.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","[{""page_index"":0,""viewing_time"":10834}]","10834","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","118237","0.0-14.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","6586","<div class=""stimulus-container""><img src=""images_value_semantic/Semantic_Cause_15.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","15","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","119238","0.0-15.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","124655","0.0-16.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","5416","<div class=""stimulus-container""><img src=""images_value_semantic/Semantic_Effect_15.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","15","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","125656","0.0-17.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","131908","0.0-18.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","6252","<div class=""stimulus-container""><img src=""images_value_semantic/Semantic_Cause_17.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","17","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","132909","0.0-19.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","137727","0.0-20.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","4817","<div class=""stimulus-container""><img src=""images_value_semantic/Semantic_Effect_17.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","17","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","138728","0.0-21.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","22","143504","0.0-22.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","4775","<div class=""stimulus-container""><img src=""images_value_semantic/Semantic_Cause_13.jpg"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_cause","","13","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","144504","0.0-23.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","24","149080","0.0-24.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","4576","<div class=""stimulus-container""><img src=""images_value_semantic/Semantic_Effect_13.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_effect","","13","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","150093","0.0-25.0","71F7A79605FD4AB6B889C4D486CA69FD","01a0bcca-c65d-7938-bc22-b07dec91f063","01a0bcc8-5038-7bf8-8122-2f3c8eb965ce","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
