"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","5443","0.0-0.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","683518","0.0-1.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","[{""page_index"":0,""viewing_time"":672426},{""page_index"":1,""viewing_time"":3536},{""page_index"":2,""viewing_time"":2112}]","678074","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","693521","0.0-2.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","","8999","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","705102","0.0-3.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","[{""page_index"":0,""viewing_time"":11580}]","11580","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","718823","0.0-4.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","","13719","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","719840","0.0-5.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","741918","0.0-6.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","","22077","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","742919","0.0-7.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","750454","0.0-8.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","","7534","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","751458","0.0-9.0","AAAAB22EF1C2416F9D063A04064B1829","01a0bd0b-c7ec-7d42-9610-ebb16f722e3d","01a0bd01-5102-716e-b3c2-1f0c3b021e86","CauseEffect_Value_Spreading_Pilot_Semantic","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
