"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","cb_version","lockout_ms","experiment","view_history","rt","stimulus","response","task","folder","role","pair_id","order","cell","correct_answer","correct","exposed_role","reward_condition","choice_id","test_type","comparison_role","spread_direction","critical_position","reward_pair_id","neutral_pair_id","repetition","reward_left","left_img","right_img","chose_reward","rt_after_lockout","cue_role","correct_index","rating"
"true","false","[]","[]","[]","preload","0","26278","0.0-0.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","50531","0.0-1.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","[{""page_index"":0,""viewing_time"":14201},{""page_index"":1,""viewing_time"":6389},{""page_index"":2,""viewing_time"":3663}]","24253","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","56877","0.0-2.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","5339","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","84568","0.0-3.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","[{""page_index"":0,""viewing_time"":27690}]","27690","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","105884","0.0-4.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","21315","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","106893","0.0-5.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","119562","0.0-6.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","12667","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","120563","0.0-7.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","142118","0.0-8.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","21553","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","143124","0.0-9.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","149948","0.0-10.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","6824","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","150950","0.0-11.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","12","162801","0.0-12.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","[{""page_index"":0,""viewing_time"":11852}]","11852","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","174371","0.0-13.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","[{""page_index"":0,""viewing_time"":11569}]","11569","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","180891","0.0-14.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","6518","<div class=""stimulus-container""><img src=""images_value/Effect_05.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","encoding_first","","effect","5","reversed","reversed_cause_reward","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","181894","0.0-15.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","188780","0.0-16.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","6886","<div class=""stimulus-container""><img src=""images_value/Cause_05.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","encoding_second","","cause","5","reversed","reversed_cause_reward","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","189782","0.0-17.0","F3C6D22DEA194D0CBAD4C8355E36B7BB","01a0cab0-dcfe-7bd1-a711-50fb317f0b18","01a0caad-d158-7def-9903-83aeb210a792","3","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
