"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","cb_version","lockout_ms","experiment","view_history","rt","stimulus","response","task","folder","role","pair_id","order","cell","correct_answer","correct","exposed_role","reward_condition","choice_id","test_type","comparison_role","spread_direction","critical_position","reward_pair_id","neutral_pair_id","repetition","reward_left","left_img","right_img","chose_reward","rt_after_lockout","cue_role","correct_index","rating"
"true","false","[]","[]","[]","preload","0","79147","0.0-0.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","159233","0.0-1.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","[{""page_index"":0,""viewing_time"":23931},{""page_index"":1,""viewing_time"":33582},{""page_index"":2,""viewing_time"":22571}]","80085","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","165781","0.0-2.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","5529","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","182544","0.0-3.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","[{""page_index"":0,""viewing_time"":16762}]","16762","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","202943","0.0-4.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","20397","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","203956","0.0-5.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","216460","0.0-6.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","12503","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","217470","0.0-7.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","229139","0.0-8.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","11668","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","230147","0.0-9.0","7EE7231E75C7452584B8337997A756A2","01a0caaf-57c4-7331-9e70-41f7d1c8639c","01a0caad-d158-7def-9903-83aeb210a792","7","2500","CauseEffect_Value_Spreading_WithinOrder_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
