"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","lockout_ms","experiment","view_history","rt","stimulus","response","task","folder","role","pair_id","order","cell","correct_answer","correct","exposed_role","reward_condition","choice_id","repetition","test_type","comparison_role","spread_direction","critical_position","reward_pair_id","neutral_pair_id","reward_left","left_img","right_img","chose_reward","rt_after_lockout","cue_role","correct_index","rating"
"true","false","[]","[]","[]","preload","0","15616","0.0-0.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","34382","0.0-1.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","[{""page_index"":0,""viewing_time"":13416},{""page_index"":1,""viewing_time"":3434},{""page_index"":2,""viewing_time"":1915}]","18766","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","37606","0.0-2.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","","2217","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","71984","0.0-3.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","[{""page_index"":0,""viewing_time"":34378}]","34378","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","93834","0.0-4.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","","21849","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","94838","0.0-5.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","101184","0.0-6.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","","6343","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","102187","0.0-7.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","109407","0.0-8.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","","7213","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","110410","0.0-9.0","2EE18FF5EEEA4A3F83EAAB6112642838","01a0cb80-e8cb-7ebb-9cf2-0522120045b0","01a0cb68-d389-7d2a-a2d1-8da88fbaa950","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
