"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","6443","0.0-0.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","35161","0.0-1.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11993},{""page_index"":1,""viewing_time"":9023},{""page_index"":2,""viewing_time"":7700}]","28717","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","39640","0.0-2.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","3421","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","51563","0.0-3.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11922}]","11922","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","71541","0.0-4.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","19958","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","72547","0.0-5.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","82299","0.0-6.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","9751","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","83305","0.0-7.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","94598","0.0-8.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","11291","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","95602","0.0-9.0","C9F1D5EB021046ABAF2597443E71B420","01a0cbc4-d8f7-7a67-be80-c93bb1d725b4","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
