"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","pair_id","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","rating"
"true","false","[]","[]","[]","preload","0","6737","0.0-0.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","21815","0.0-1.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":11933},{""page_index"":1,""viewing_time"":1960},{""page_index"":2,""viewing_time"":1184}]","15078","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24341","0.0-2.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","1518","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","36946","0.0-3.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12604}]","12604","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","92310","0.0-4.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","55362","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","93312","0.0-5.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","109882","0.0-6.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","16568","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","110889","0.0-7.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","119219","0.0-8.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","8328","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","120237","0.0-9.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","128845","0.0-10.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","8607","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","129853","0.0-11.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","",""
"","","","","","instructions","12","142345","0.0-12.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":12491}]","12491","","","","","","","","","","","","","","","","",""
"","","","","","instructions","13","153338","0.0-13.0","5B6742B59D5248EA983B2EF8D2403342","01a0cbca-94b0-7c19-a205-a5a43e761ac1","01a0cbc1-024f-7375-92f7-ff59e67253db","CauseEffect_Value_Spreading_Pilot","[{""page_index"":0,""viewing_time"":10993}]","10993","","","","","","","","","","","","","","","","",""
