"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","rating","timed_out","pair_id","first_role","correct_answer","correct","exposed_role","reward_condition","cell","test_type","comparison_role","reward_pair_id","neutral_pair_id","chose_reward","correct_index","cause_is_A","answer","correct_direction","reversed_direction","chose_unrelated"
"true","false","[]","[]","[]","preload","0","3392","0.0-0.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","27371","0.0-1.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","[{""page_index"":0,""viewing_time"":10788},{""page_index"":1,""viewing_time"":8313},{""page_index"":2,""viewing_time"":4877}]","23978","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","34190","0.0-2.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","5809","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","45961","0.0-3.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","[{""page_index"":0,""viewing_time"":11768}]","11768","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","49976","0.0-4.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""></div>","null","practice_first","the_performance_causal","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","50978","0.0-5.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","54984","0.0-6.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""></div>","null","practice_second","the_performance_causal","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","57976","0.0-7.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","2990","<div class=""stimulus-container""><p style=""font-size: 22px; font-weight: bold; margin-top: 60px;"">How much did the first image cause the second?</p><p style=""font-size: 16px;"">(1 = not at all, 10 = completely)</p></div>","5","practice_rating","the_performance_causal","6","0","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","58980","0.0-8.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","62987","0.0-9.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""></div>","null","practice_first","museum_causal","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","63990","0.0-10.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","67993","0.0-11.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""></div>","null","practice_second","museum_causal","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","70337","0.0-12.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","2342","<div class=""stimulus-container""><p style=""font-size: 22px; font-weight: bold; margin-top: 60px;"">How much did the first image cause the second?</p><p style=""font-size: 16px;"">(1 = not at all, 10 = completely)</p></div>","8","practice_rating","museum_causal","9","0","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","71350","0.0-13.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","14","83009","0.0-14.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","[{""page_index"":0,""viewing_time"":11658}]","11659","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","15","94458","0.0-15.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","[{""page_index"":0,""viewing_time"":11445}]","11445","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","98528","0.0-16.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""stimulus-container""><img src=""images_value/Cause_08.png"" class=""exp-image""></div>","null","encoding_first","","","","8","cause","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","99530","0.0-17.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","103593","0.0-18.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","null","<div class=""stimulus-container""><img src=""images_value/Effect_08.png"" class=""exp-image""></div>","null","encoding_second","","","","8","cause","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","19","105708","0.0-19.0","7EE92AB106324A81915F6D4671771CF9","01a0d15a-dcb0-7b4d-a4b4-f39f9f87c347","01a0d14d-2337-747f-8e2d-e7348cfa4899","CauseEffect_Value_Spreading_CausalRating_v1","","2112","<div class=""stimulus-container""><p style=""font-size: 22px; font-weight: bold; margin-top: 60px;"">How much did the first image cause the second?</p><p style=""font-size: 16px;"">(1 = not at all, 10 = completely)</p></div>","7","encoding_rating","","8","0","8","cause","","","","","","","","","","","","","","","",""
