"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","8516","0.0-0.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","","","","","","",""
"","","","","","instructions","1","93353","0.0-1.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","[{""page_index"":0,""viewing_time"":84833}]","84834","","","","",""
"","","","","","instructions","2","168178","0.0-2.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","[{""page_index"":0,""viewing_time"":74821}]","74822","","","","",""
"true","","","","","fullscreen","3","171996","0.0-3.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","","2815","","","","",""
"","","","","","initialize-microphone","4","183520","0.0-4.0-0.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","","","ba0e0ec52a9f8a514bd583f856903e8c2bfe10882eb3dcddc1a9c0844e28b789","","","",""
"","","","","","html-audio-response","5","195684","0.0-4.0-1.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","","5077","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","6","197714","0.0-4.0-2.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","","2028","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","218583","0.0-5.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","[{""page_index"":0,""viewing_time"":10667},{""page_index"":1,""viewing_time"":10201}]","20868","","","","",""
"","","","","","image-button-response","8","224586","0.0-6.0-0.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","229089","0.0-6.0-1.0-0.0","0194E19996A14812975767C4C7B9EA9E","0194E19996A14812975767C4C7B9EA9E","7c910cca-a022-4748-9209-aac2ad663815","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0194E19996A14812975767C4C7B9EA9E"",""assignmentId"":""7c910cca-a022-4748-9209-aac2ad663815"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0194E19996A14812975767C4C7B9EA9E&assignmentId=7c910cca-a022-4748-9209-aac2ad663815&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","0194E19996A14812975767C4C7B9EA9E-2025-05-15-21-16-57","","null","","images/instructions/movie_1.png","null","",""
