"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","2230","0.0-0.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","","","","","","",""
"","","","","","instructions","1","32501","0.0-1.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","[{""page_index"":0,""viewing_time"":30270}]","30271","","","","",""
"","","","","","instructions","2","65488","0.0-2.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","[{""page_index"":0,""viewing_time"":32985}]","32985","","","","",""
"true","","","","","fullscreen","3","83775","0.0-3.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","","17230","","","","",""
"","","","","","initialize-microphone","4","97203","0.0-4.0-0.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","","","WrG57bnTRZzLxBNAOIRGaU3knK26fKCl/hhQBeGsQO0=","","","",""
"","","","","","html-audio-response","5","122246","0.0-4.0-1.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","","3636","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","125256","0.0-4.0-2.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","","3006","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","153966","0.0-5.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","[{""page_index"":0,""viewing_time"":11356},{""page_index"":1,""viewing_time"":17351}]","28707","","","","",""
"","","","","","image-button-response","8","160004","0.0-6.0-0.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","164554","0.0-6.0-1.0-0.0","14138DFBEEC041E28E13E8465B16F76F","14138DFBEEC041E28E13E8465B16F76F","7fade5c3-8340-44b6-a417-6aac0de824b8","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""14138DFBEEC041E28E13E8465B16F76F"",""assignmentId"":""7fade5c3-8340-44b6-a417-6aac0de824b8"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=14138DFBEEC041E28E13E8465B16F76F&assignmentId=7fade5c3-8340-44b6-a417-6aac0de824b8&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","14138DFBEEC041E28E13E8465B16F76F-2024-11-24-18-44-05","","null","","images/instructions/movie_1.png","null","",""
