"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","3651","0.0-0.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","","","","","","",""
"","","","","","instructions","1","68274","0.0-1.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","[{""page_index"":0,""viewing_time"":64621}]","64622","","","","",""
"","","","","","instructions","2","73440","0.0-2.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","[{""page_index"":0,""viewing_time"":5164}]","5165","","","","",""
"true","","","","","fullscreen","3","76244","0.0-3.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","","1799","","","","",""
"","","","","","initialize-microphone","4","85533","0.0-4.0-0.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","","","cbdd33421356f7c9d0be842c2465f8b5f773dc1c78e297b34c92024493909257","","","",""
"","","","","","html-audio-response","5","95124","0.0-4.0-1.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","","1750","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","1",""
"","","","","","html-button-response","6","96323","0.0-4.0-2.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","","1197","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","103324","0.0-5.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","[{""page_index"":0,""viewing_time"":3766},{""page_index"":1,""viewing_time"":3233}]","7000","","","","",""
"","","","","","image-button-response","8","109334","0.0-6.0-0.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","113839","0.0-6.0-1.0-0.0","1821F336D9EA49FE815252461275C2D2","1821F336D9EA49FE815252461275C2D2","09dfd8f9-c276-4f13-a8fb-5472b1752fef","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""1821F336D9EA49FE815252461275C2D2"",""assignmentId"":""09dfd8f9-c276-4f13-a8fb-5472b1752fef"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=1821F336D9EA49FE815252461275C2D2&assignmentId=09dfd8f9-c276-4f13-a8fb-5472b1752fef&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","1821F336D9EA49FE815252461275C2D2-2025-05-15-19-10-17","","null","","images/instructions/movie_1.png","null","",""
