"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","10126","0.0-0.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","","","","","","",""
"","","","","","instructions","1","23033","0.0-1.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","[{""page_index"":0,""viewing_time"":12902}]","12903","","","","",""
"","","","","","instructions","2","1826269","0.0-2.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","[{""page_index"":0,""viewing_time"":1803232}]","1803232","","","","",""
"true","","","","","fullscreen","3","2547821","0.0-3.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","","720546","","","","",""
"","","","","","initialize-microphone","4","2555660","0.0-4.0-0.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","","","wrEEQiVvgFBEdoCj1VM9IbQREqyscGTadweBkz1sdzw=","","","",""
"","","","","","html-audio-response","5","2560322","0.0-4.0-1.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","","2734","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","2561429","0.0-4.0-2.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","","1101","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","2569598","0.0-5.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","[{""page_index"":0,""viewing_time"":3582},{""page_index"":1,""viewing_time"":4584}]","8167","","","","",""
"","","","","","image-button-response","8","2575751","0.0-6.0-0.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","2580344","0.0-6.0-1.0-0.0","43CCCCD180434F5F821D2323BB7EC7CE","43CCCCD180434F5F821D2323BB7EC7CE","a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""43CCCCD180434F5F821D2323BB7EC7CE"",""assignmentId"":""a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=43CCCCD180434F5F821D2323BB7EC7CE&assignmentId=a9a4fabc-e7d5-4e04-a5b5-b51bcfe75c16&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","43CCCCD180434F5F821D2323BB7EC7CE-2025-05-22-21-22-51","","null","","images/instructions/movie_1.png","null","",""
