"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","54163","0.0-0.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","","","","","","",""
"","","","","","instructions","1","114649","0.0-1.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","[{""page_index"":0,""viewing_time"":60486}]","60487","","","","",""
"","","","","","instructions","2","366915","0.0-2.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","[{""page_index"":0,""viewing_time"":252269}]","252269","","","","",""
"true","","","","","fullscreen","3","369437","0.0-3.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","","1517","","","","",""
"","","","","","initialize-microphone","4","376113","0.0-4.0-0.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","","","c75886b2573626aa762da4bd2af09652bd1888d34e56ba2ff1e8de8b64d4992f","","","",""
"","","","","","html-audio-response","5","387483","0.0-4.0-1.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","","4931","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","16",""
"","","","","","html-button-response","6","389367","0.0-4.0-2.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","","1882","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","402916","0.0-5.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","[{""page_index"":0,""viewing_time"":4063},{""page_index"":1,""viewing_time"":9484}]","13548","","","","",""
"","","","","","image-button-response","8","408923","0.0-6.0-0.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","413428","0.0-6.0-1.0-0.0","45F3B52EB83A49E49D4C7F95087F5681","45F3B52EB83A49E49D4C7F95087F5681","0198bea0-9aa5-7eba-ab65-4b6838d58e1f","0198be8b-78cf-72d2-ba2b-1e62c78022e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""45F3B52EB83A49E49D4C7F95087F5681"",""assignmentId"":""0198bea0-9aa5-7eba-ab65-4b6838d58e1f"",""projectId"":""0198be8b-78cf-72d2-ba2b-1e62c78022e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=45F3B52EB83A49E49D4C7F95087F5681&assignmentId=0198bea0-9aa5-7eba-ab65-4b6838d58e1f&projectId=0198be8b-78cf-72d2-ba2b-1e62c78022e0","45F3B52EB83A49E49D4C7F95087F5681-2025-08-18-20-06-11","","null","","images/instructions/movie_1.png","null","",""
