"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","2734","0.0-0.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","","","","","","",""
"","","","","","instructions","1","47001","0.0-1.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","[{""page_index"":0,""viewing_time"":44266}]","44267","","","","",""
"","","","","","instructions","2","55241","0.0-2.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","[{""page_index"":0,""viewing_time"":8239}]","8239","","","","",""
"true","","","","","fullscreen","3","60342","0.0-3.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","","4085","","","","",""
"","","","","","initialize-microphone","4","83267","0.0-4.0-0.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","","","ec0966345fbe9d6179c82da7dfc22a039a0a965953d7042a4d9a43fc47293c66","","","",""
"","","","","","html-audio-response","5","114898","0.0-4.0-1.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","","14238","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","117675","0.0-4.0-2.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","","2776","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","153367","0.0-5.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","[{""page_index"":0,""viewing_time"":7325},{""page_index"":1,""viewing_time"":28366}]","35691","","","","",""
"","","","","","image-button-response","8","159376","0.0-6.0-0.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","163887","0.0-6.0-1.0-0.0","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423","0198bcf9-5a8c-73dd-a81f-3ea2928baf40","0198bbb8-fd11-701d-9147-68794ad37298","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""46E8ADFFBDFC4AE0A0DDBB6F7BAF3423"",""assignmentId"":""0198bcf9-5a8c-73dd-a81f-3ea2928baf40"",""projectId"":""0198bbb8-fd11-701d-9147-68794ad37298""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=46E8ADFFBDFC4AE0A0DDBB6F7BAF3423&assignmentId=0198bcf9-5a8c-73dd-a81f-3ea2928baf40&projectId=0198bbb8-fd11-701d-9147-68794ad37298","46E8ADFFBDFC4AE0A0DDBB6F7BAF3423-2025-08-18-12-19-33","","null","","images/instructions/movie_1.png","null","",""
