"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","6403","0.0-0.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","","","","","","",""
"","","","","","instructions","1","337218","0.0-1.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","[{""page_index"":0,""viewing_time"":330813}]","330813","","","","",""
"","","","","","instructions","2","341422","0.0-2.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","[{""page_index"":0,""viewing_time"":4201}]","4201","","","","",""
"true","","","","","fullscreen","3","344421","0.0-3.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","","1982","","","","",""
"","","","","","initialize-microphone","4","350791","0.0-4.0-0.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","","","cddacf650005f6329b56c72dbce72175dfd5165af8f5797620ebc18e5fdf7426","","","",""
"","","","","","html-audio-response","5","645257","0.0-4.0-1.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","","7541","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","21",""
"","","","","","html-button-response","6","648132","0.0-4.0-2.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","","2854","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","654369","0.0-5.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","[{""page_index"":0,""viewing_time"":2646},{""page_index"":1,""viewing_time"":3589}]","6235","","","","",""
"","","","","","image-button-response","8","660388","0.0-6.0-0.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","664890","0.0-6.0-1.0-0.0","4955E22EE57F4B51A5C0B2C5528E9FBB","4955E22EE57F4B51A5C0B2C5528E9FBB","9a193399-9402-4473-9a98-6f84840e6cd8","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4955E22EE57F4B51A5C0B2C5528E9FBB"",""assignmentId"":""9a193399-9402-4473-9a98-6f84840e6cd8"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4955E22EE57F4B51A5C0B2C5528E9FBB&assignmentId=9a193399-9402-4473-9a98-6f84840e6cd8&projectId=742ed384-456e-4a46-b422-5d3d313078b8","4955E22EE57F4B51A5C0B2C5528E9FBB-2025-08-07-07-22-55","","null","","images/instructions/movie_1.png","null","",""
