"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","3864","0.0-0.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","","","","","",""
"","","","","","instructions","1","18799","0.0-1.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","[{""page_index"":0,""viewing_time"":14934}]","14934","","","","",""
"","","","","","instructions","2","39907","0.0-2.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","[{""page_index"":0,""viewing_time"":21107}]","21107","","","","",""
"true","","","","","fullscreen","3","43081","0.0-3.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","2169","","","","",""
"","","","","","initialize-microphone","4","52487","0.0-4.0-0.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","","T8cCJ1j8X3JpGODdVpOe7DAhqVIdRv/N4YjBTXCJNkA=","","","",""
"","","","","","html-audio-response","5","60804","0.0-4.0-1.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","3204","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","18",""
"","","","","","html-button-response","6","64484","0.0-4.0-2.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","3679","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","76308","0.0-5.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","[{""page_index"":0,""viewing_time"":5227},{""page_index"":1,""viewing_time"":6597}]","11824","","","","",""
"","","","","","image-button-response","8","82327","0.0-6.0-0.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","86860","0.0-6.0-1.0-0.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","89444","0.0-6.0-1.0-1.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","2583","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","91449","0.0-6.0-1.0-2.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","[]","null","",""
"","","","","","image-button-response","12","96477","0.0-6.0-1.0-0.1","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","97498","0.0-6.0-1.0-1.1","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","1019","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","99504","0.0-6.0-1.0-2.1","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","[]","null","",""
"","","","","","image-button-response","15","104320","0.0-6.0-1.0-0.2","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","105683","0.0-6.0-1.0-1.2","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","1363","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","107499","0.0-6.0-1.0-2.2","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","[]","null","",""
"","","","","","image-button-response","18","112027","0.0-6.0-1.0-0.3","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","112732","0.0-6.0-1.0-1.3","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","704","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","114738","0.0-6.0-1.0-2.3","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","","null","","[]","null","",""
"","","","","","instructions","21","124180","0.0-7.0","777D5FD3181E4DCC93A94BED9C7BD882","777D5FD3181E4DCC93A94BED9C7BD882","9c5d0d0c-1b1e-4628-8f75-e5d71247602e","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""777D5FD3181E4DCC93A94BED9C7BD882"",""assignmentId"":""9c5d0d0c-1b1e-4628-8f75-e5d71247602e"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=777D5FD3181E4DCC93A94BED9C7BD882&assignmentId=9c5d0d0c-1b1e-4628-8f75-e5d71247602e&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","777D5FD3181E4DCC93A94BED9C7BD882-2025-08-07-20-07-37","[{""page_index"":0,""viewing_time"":8406},{""page_index"":1,""viewing_time"":1037}]","9443","","","","",""
