"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","2741","0.0-0.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","","","","","",""
"","","","","","instructions","1","722969","0.0-1.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","[{""page_index"":0,""viewing_time"":720227}]","720227","","","","",""
"","","","","","instructions","2","820517","0.0-2.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","[{""page_index"":0,""viewing_time"":97547}]","97548","","","","",""
"true","","","","","fullscreen","3","828249","0.0-3.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","6717","","","","",""
"","","","","","initialize-microphone","4","839099","0.0-4.0-0.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","","fa88b3ae816f8674ebe2de26d6ac07dd325128c84051942ec4d1eeefbfe645f1","","","",""
"","","","","","html-audio-response","5","866884","0.0-4.0-1.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","14309","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","8",""
"","","","","","html-button-response","6","869679","0.0-4.0-2.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","2793","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","892947","0.0-5.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","[{""page_index"":0,""viewing_time"":6129},{""page_index"":1,""viewing_time"":17139}]","23268","","","","",""
"","","","","","image-button-response","8","898957","0.0-6.0-0.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","903461","0.0-6.0-1.0-0.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","907465","0.0-6.0-1.0-1.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","11","918268","0.0-6.0-1.0-2.0","7A2FD3C07D83434E8933F2F44369452E","7A2FD3C07D83434E8933F2F44369452E","0198be2b-8911-71bf-ab63-c315e7e28f10","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""7A2FD3C07D83434E8933F2F44369452E"",""assignmentId"":""0198be2b-8911-71bf-ab63-c315e7e28f10"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=7A2FD3C07D83434E8933F2F44369452E&assignmentId=0198be2b-8911-71bf-ab63-c315e7e28f10&projectId=0198be1d-574a-752e-ae53-1d263a30e856","7A2FD3C07D83434E8933F2F44369452E-2025-08-18-18-04-52","","null","","[]","null","",""
