"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","21419","0.0-0.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","","","","","","",""
"","","","","","instructions","1","51549","0.0-1.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","[{""page_index"":0,""viewing_time"":30114}]","30114","","","","",""
"","","","","","instructions","2","55794","0.0-2.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","[{""page_index"":0,""viewing_time"":4245}]","4245","","","","",""
"true","","","","","fullscreen","3","58505","0.0-3.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","","1701","","","","",""
"","","","","","initialize-microphone","4","83934","0.0-4.0-0.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","","","e07c2d3893f688c74bc92f1e92d06e381a98a6c7dc7fb4c074d7139057006ea9","","","",""
"","","","","","html-audio-response","5","113436","0.0-4.0-1.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","","4970","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","1",""
"","","","","","html-button-response","6","116624","0.0-4.0-2.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","","3187","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","130647","0.0-5.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","[{""page_index"":0,""viewing_time"":6260},{""page_index"":1,""viewing_time"":7762}]","14022","","","","",""
"","","","","","image-button-response","8","136660","0.0-6.0-0.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","141164","0.0-6.0-1.0-0.0","89975035950644E1BA35A6D97BD2CD4F","89975035950644E1BA35A6D97BD2CD4F","3bf5d7fe-45ed-4b50-8642-26c3cf6da58f","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""89975035950644E1BA35A6D97BD2CD4F"",""assignmentId"":""3bf5d7fe-45ed-4b50-8642-26c3cf6da58f"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=89975035950644E1BA35A6D97BD2CD4F&assignmentId=3bf5d7fe-45ed-4b50-8642-26c3cf6da58f&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","89975035950644E1BA35A6D97BD2CD4F-2025-08-07-19-22-45","","null","","images/instructions/movie_1.png","null","",""
