"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","10038","0.0-0.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","","","","","","",""
"","","","","","instructions","1","52341","0.0-1.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","[{""page_index"":0,""viewing_time"":42302}]","42303","","","","",""
"","","","","","instructions","2","62631","0.0-2.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","[{""page_index"":0,""viewing_time"":10289}]","10289","","","","",""
"true","","","","","fullscreen","3","65654","0.0-3.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","","2013","","","","",""
"","","","","","initialize-microphone","4","74046","0.0-4.0-0.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","","","0608b7a5de50f8948ee0fdc2a02ec240e7b1c18c07fb947dcffc6124cb8f2fbd","","","",""
"","","","","","html-audio-response","5","89953","0.0-4.0-1.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","","6408","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","9",""
"","","","","","html-button-response","6","91739","0.0-4.0-2.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","","1785","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","101151","0.0-5.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","[{""page_index"":0,""viewing_time"":4296},{""page_index"":1,""viewing_time"":5115}]","9412","","","","",""
"","","","","","image-button-response","8","107154","0.0-6.0-0.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","111657","0.0-6.0-1.0-0.0","8BA11DD0CBCB40758AFC1B6D41753F67","8BA11DD0CBCB40758AFC1B6D41753F67","8fe99e94-e85f-4613-972f-da7200c4cbd5","742ed384-456e-4a46-b422-5d3d313078b8","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""8BA11DD0CBCB40758AFC1B6D41753F67"",""assignmentId"":""8fe99e94-e85f-4613-972f-da7200c4cbd5"",""projectId"":""742ed384-456e-4a46-b422-5d3d313078b8""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=8BA11DD0CBCB40758AFC1B6D41753F67&assignmentId=8fe99e94-e85f-4613-972f-da7200c4cbd5&projectId=742ed384-456e-4a46-b422-5d3d313078b8","8BA11DD0CBCB40758AFC1B6D41753F67-2025-08-07-06-00-28","","null","","images/instructions/movie_1.png","null","",""
