"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","64356","0.0-0.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","","","","","","",""
"","","","","","instructions","1","80220","0.0-1.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","[{""page_index"":0,""viewing_time"":15861}]","15862","","","","",""
"","","","","","instructions","2","88456","0.0-2.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","[{""page_index"":0,""viewing_time"":8226}]","8227","","","","",""
"true","","","","","fullscreen","3","92856","0.0-3.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","","3374","","","","",""
"","","","","","initialize-microphone","4","102968","0.0-4.0-0.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","","","0f1375cf5d36522e55610af8c0e31fd2e64b6286b444d337e48d8ba37cdb011f","","","",""
"","","","","","html-audio-response","5","148770","0.0-4.0-1.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","","2310","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","15",""
"","","","","","html-button-response","6","150040","0.0-4.0-2.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","","1264","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","167675","0.0-5.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","[{""page_index"":0,""viewing_time"":9627},{""page_index"":1,""viewing_time"":8004}]","17632","","","","",""
"","","","","","image-button-response","8","173713","0.0-6.0-0.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","178232","0.0-6.0-1.0-0.0","B1A83D80254E4A3CB81D98E6917A3C6B","B1A83D80254E4A3CB81D98E6917A3C6B","07962425-98bf-4916-b7fe-808a1cbc032a","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""B1A83D80254E4A3CB81D98E6917A3C6B"",""assignmentId"":""07962425-98bf-4916-b7fe-808a1cbc032a"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=B1A83D80254E4A3CB81D98E6917A3C6B&assignmentId=07962425-98bf-4916-b7fe-808a1cbc032a&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","B1A83D80254E4A3CB81D98E6917A3C6B-2025-05-15-19-03-29","","null","","images/instructions/movie_1.png","null","",""
