"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","2089","0.0-0.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","","","","","","",""
"","","","","","instructions","1","37726","0.0-1.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","[{""page_index"":0,""viewing_time"":35637}]","35637","","","","",""
"","","","","","instructions","2","46738","0.0-2.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","[{""page_index"":0,""viewing_time"":9011}]","9011","","","","",""
"true","","","","","fullscreen","3","49688","0.0-3.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","","1950","","","","",""
"","","","","","initialize-microphone","4","66356","0.0-4.0-0.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","","","8baa42c73546196215985fd6d10dbf4f00cfbf44296a4fec22f29f9f18da0813","","","",""
"","","","","","html-audio-response","5","80365","0.0-4.0-1.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","","3160","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","1",""
"","","","","","html-button-response","6","81854","0.0-4.0-2.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","","1488","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","100622","0.0-5.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","[{""page_index"":0,""viewing_time"":13114},{""page_index"":1,""viewing_time"":5654}]","18769","","","","",""
"","","","","","image-button-response","8","106625","0.0-6.0-0.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","111126","0.0-6.0-1.0-0.0","BA63A8CCEF8648A4A02A0874BF33DF98","BA63A8CCEF8648A4A02A0874BF33DF98","0198b9fe-8fb1-701d-b32b-38ee86a27c32","0198b9d0-29d4-7df3-8625-4b4515841beb","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""BA63A8CCEF8648A4A02A0874BF33DF98"",""assignmentId"":""0198b9fe-8fb1-701d-b32b-38ee86a27c32"",""projectId"":""0198b9d0-29d4-7df3-8625-4b4515841beb""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=BA63A8CCEF8648A4A02A0874BF33DF98&assignmentId=0198b9fe-8fb1-701d-b32b-38ee86a27c32&projectId=0198b9d0-29d4-7df3-8625-4b4515841beb","BA63A8CCEF8648A4A02A0874BF33DF98-2025-08-17-22-26-36","","null","","images/instructions/movie_1.png","null","",""
