"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","157","0.0-0.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","","","","","","",""
"","","","","","instructions","1","18135","0.0-1.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","[{""page_index"":0,""viewing_time"":17977}]","17978","","","","",""
"","","","","","instructions","2","21707","0.0-2.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","[{""page_index"":0,""viewing_time"":3571}]","3571","","","","",""
"true","","","","","fullscreen","3","23710","0.0-3.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","","996","","","","",""
"","","","","","initialize-microphone","4","26728","0.0-4.0-0.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","","","a4abc6f1fbe77a7cc679d4fab4243ac99fbcd7ac18276e35bae05df19e9101ce","","","",""
"","","","","","html-audio-response","5","229823","0.0-4.0-1.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","","4806","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","1",""
"","","","","","html-button-response","6","231029","0.0-4.0-2.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","","1206","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","239053","0.0-5.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","[{""page_index"":0,""viewing_time"":2299},{""page_index"":1,""viewing_time"":5724}]","8023","","","","",""
"","","","","","image-button-response","8","245061","0.0-6.0-0.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","249567","0.0-6.0-1.0-0.0","F8F1D87D5BC547FFBD31555BEA88953F","F8F1D87D5BC547FFBD31555BEA88953F","0198be2b-6209-7372-a8ee-f634e1866226","0198be1d-574a-752e-ae53-1d263a30e856","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""F8F1D87D5BC547FFBD31555BEA88953F"",""assignmentId"":""0198be2b-6209-7372-a8ee-f634e1866226"",""projectId"":""0198be1d-574a-752e-ae53-1d263a30e856""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=F8F1D87D5BC547FFBD31555BEA88953F&assignmentId=0198be2b-6209-7372-a8ee-f634e1866226&projectId=0198be1d-574a-752e-ae53-1d263a30e856","F8F1D87D5BC547FFBD31555BEA88953F-2025-08-18-18-44-19","","null","","images/instructions/movie_1.png","null","",""
