"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","1857","0.0-0.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","","","","","","",""
"","","","","","instructions","1","62599","0.0-1.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","[{""page_index"":0,""viewing_time"":60743}]","60743","","","","",""
"","","","","","instructions","2","70634","0.0-2.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","[{""page_index"":0,""viewing_time"":8034}]","8034","","","","",""
"true","","","","","fullscreen","3","73430","0.0-3.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","","1793","","","","",""
"","","","","","initialize-microphone","4","77718","0.0-4.0-0.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","","","V6FF9p5JXpyNcwmYT3KTZ7S6nbKDMzaGiCFrOAfZ32g=","","","",""
"","","","","","html-audio-response","5","89350","0.0-4.0-1.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","","3963","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","1",""
"","","","","","html-button-response","6","90882","0.0-4.0-2.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","","1530","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","108040","0.0-5.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","[{""page_index"":0,""viewing_time"":6499},{""page_index"":1,""viewing_time"":10659}]","17158","","","","",""
"","","","","","image-button-response","8","114074","0.0-6.0-0.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","118604","0.0-6.0-1.0-0.0","C6C8D80416534548A1CF7457665CCB64","C6C8D80416534548A1CF7457665CCB64","aba58a93-27fb-4e78-b9dc-991daf02e630","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""C6C8D80416534548A1CF7457665CCB64"",""assignmentId"":""aba58a93-27fb-4e78-b9dc-991daf02e630"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=C6C8D80416534548A1CF7457665CCB64&assignmentId=aba58a93-27fb-4e78-b9dc-991daf02e630&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","C6C8D80416534548A1CF7457665CCB64-2024-11-24-18-40-55","","null","","images/instructions/movie_1.png","null","",""
