"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","6871","0.0-0.0","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","","","","","","",""
"","","","","","instructions","1","170443","0.0-1.0","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","[{""page_index"":0,""viewing_time"":163557}]","163558","","","","",""
"","","","","","instructions","2","173600","0.0-2.0","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","[{""page_index"":0,""viewing_time"":3155}]","3156","","","","",""
"true","","","","","fullscreen","3","176556","0.0-3.0","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","","1949","","","","",""
"","","","","","initialize-microphone","4","192275","0.0-4.0-0.0","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","","","408133D0593B9B14864C96B62513D95821E97EFF","","","",""
"","","","","","html-audio-response","5","195408","0.0-4.0-1.0","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","","1769","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","12",""
"","","","","","html-button-response","6","197107","0.0-4.0-2.0","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","","1697","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","7","204407","0.0-4.1-0.1","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","","","FC13A4B306FF58107C0E732BF3811B264CD84933","","","",""
"","","","","","html-audio-response","8","214014","0.0-4.1-1.1","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","","739","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","9",""
"","","","","","html-button-response","9","214816","0.0-4.1-2.1","024E7395AC6A492B9B1FE17DCAD596FE","024E7395AC6A492B9B1FE17DCAD596FE","513db014-4667-4ca7-a404-8ae344e333d7","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""024E7395AC6A492B9B1FE17DCAD596FE"",""assignmentId"":""513db014-4667-4ca7-a404-8ae344e333d7"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=024E7395AC6A492B9B1FE17DCAD596FE&assignmentId=513db014-4667-4ca7-a404-8ae344e333d7&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","024E7395AC6A492B9B1FE17DCAD596FE-2025-05-28-16-16-55","","801","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
