"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5847","0.0-0.0","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","","","","","","",""
"","","","","","instructions","1","69015","0.0-1.0","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","[{""page_index"":0,""viewing_time"":63167}]","63167","","","","",""
"","","","","","instructions","2","75482","0.0-2.0","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","[{""page_index"":0,""viewing_time"":6466}]","6466","","","","",""
"true","","","","","fullscreen","3","77926","0.0-3.0","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","","1438","","","","",""
"","","","","","initialize-microphone","4","82189","0.0-4.0-0.0","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","","","fd428e64df016887dc4bf93bde140d546651c3b45f6f8399c25fef10933aeabb","","","",""
"","","","","","html-audio-response","5","95856","0.0-4.0-1.0","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","","2233","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","5",""
"","","","","","html-button-response","6","98077","0.0-4.0-2.0","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","","2220","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","7","98698","0.0-4.1-0.1","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","","","fd428e64df016887dc4bf93bde140d546651c3b45f6f8399c25fef10933aeabb","","","",""
"","","","","","html-audio-response","8","115447","0.0-4.1-1.1","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","","2315","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","9","116384","0.0-4.1-2.1","164CFCF7AA2142BF8E980A3E25CC6FE4","164CFCF7AA2142BF8E980A3E25CC6FE4","46a08639-e6dd-43a8-adac-287d68bc058e","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""164CFCF7AA2142BF8E980A3E25CC6FE4"",""assignmentId"":""46a08639-e6dd-43a8-adac-287d68bc058e"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=164CFCF7AA2142BF8E980A3E25CC6FE4&assignmentId=46a08639-e6dd-43a8-adac-287d68bc058e&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","164CFCF7AA2142BF8E980A3E25CC6FE4-2025-05-28-17-45-41","","935","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
