"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","27983","0.0-0.0","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","","","","","","",""
"","","","","","instructions","1","66905","0.0-1.0","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","[{""page_index"":0,""viewing_time"":38917}]","38918","","","","",""
"","","","","","instructions","2","85272","0.0-2.0","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","[{""page_index"":0,""viewing_time"":18364}]","18365","","","","",""
"true","","","","","fullscreen","3","88357","0.0-3.0","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","","2076","","","","",""
"","","","","","initialize-microphone","4","114624","0.0-4.0-0.0","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","","","bf32dc2ba2a1baaeaa07ab825490b41587738e0cf718d184f26a668962e749be","","","",""
"","","","","","html-audio-response","5","188731","0.0-4.0-1.0","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","","6775","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","6",""
"","","","","","html-button-response","6","191586","0.0-4.0-2.0","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","","2850","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","7","194317","0.0-4.1-0.1","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","","","22446729eb23b6f868b6f523d69ece99c2b23a2354799dc5abef3d0f1a6eff43","","","",""
"","","","","","html-audio-response","8","210214","0.0-4.1-1.1","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","","3134","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","9","211591","0.0-4.1-2.1","22562C21FF554B5B856E3FC2575DECB0","22562C21FF554B5B856E3FC2575DECB0","70d4f553-b4b0-45a2-b6e2-18eeda3b996f","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""22562C21FF554B5B856E3FC2575DECB0"",""assignmentId"":""70d4f553-b4b0-45a2-b6e2-18eeda3b996f"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=22562C21FF554B5B856E3FC2575DECB0&assignmentId=70d4f553-b4b0-45a2-b6e2-18eeda3b996f&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","22562C21FF554B5B856E3FC2575DECB0-2025-05-15-20-27-01","","1370","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
