"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","2608","0.0-0.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","","","","","","",""
"","","","","","instructions","1","23936","0.0-1.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","[{""page_index"":0,""viewing_time"":21325}]","21326","","","","",""
"","","","","","instructions","2","27217","0.0-2.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","[{""page_index"":0,""viewing_time"":3280}]","3280","","","","",""
"true","","","","","fullscreen","3","29762","0.0-3.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","","1529","","","","",""
"","","","","","initialize-microphone","4","32416","0.0-4.0-0.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","","","2bd0bcd784b41a496e47def17f0f60f83561bffb85d5603d6717f3cb21e13790","","","",""
"","","","","","html-audio-response","5","36881","0.0-4.0-1.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","","2759","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","40",""
"","","","","","html-button-response","6","38102","0.0-4.0-2.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","","1220","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","49899","0.0-5.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","[{""page_index"":0,""viewing_time"":1145},{""page_index"":1,""viewing_time"":4484},{""page_index"":2,""viewing_time"":6168}]","11796","","","","",""
"","","","","","image-button-response","8","55916","0.0-6.0-0.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","63004","0.0-7.0","26BB98CCB1F84F72B121D178B0DB45E2","26BB98CCB1F84F72B121D178B0DB45E2","0198c235-f37a-7b16-9cd7-57dc74ddee47","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""26BB98CCB1F84F72B121D178B0DB45E2"",""assignmentId"":""0198c235-f37a-7b16-9cd7-57dc74ddee47"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=26BB98CCB1F84F72B121D178B0DB45E2&assignmentId=0198c235-f37a-7b16-9cd7-57dc74ddee47&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","26BB98CCB1F84F72B121D178B0DB45E2-2025-08-19-12-06-18","","5923","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","3",""
