"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","1219","0.0-0.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","","","","","","",""
"","","","","","instructions","1","12902","0.0-1.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","[{""page_index"":0,""viewing_time"":11682}]","11682","","","","",""
"","","","","","instructions","2","21856","0.0-2.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","[{""page_index"":0,""viewing_time"":8953}]","8953","","","","",""
"true","","","","","fullscreen","3","28231","0.0-3.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","","5368","","","","",""
"","","","","","initialize-microphone","4","33021","0.0-4.0-0.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","","","c25afa7873dec50b5488a54cae55823abfefaa9d7fca7c9e346f7aec7409b3b5","","","",""
"","","","","","html-audio-response","5","52917","0.0-4.0-1.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","","5101","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","6","54495","0.0-4.0-2.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","","1575","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","79234","0.0-5.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","[{""page_index"":0,""viewing_time"":1697},{""page_index"":1,""viewing_time"":6429},{""page_index"":2,""viewing_time"":16611}]","24737","","","","",""
"","","","","","image-button-response","8","85242","0.0-6.0-0.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","125613","0.0-7.0","294C5AD37DFB4BDF93BB75FBAFE3F5C9","294C5AD37DFB4BDF93BB75FBAFE3F5C9","4387b333-5c4f-412e-818d-d9bff3e9b8ed","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""294C5AD37DFB4BDF93BB75FBAFE3F5C9"",""assignmentId"":""4387b333-5c4f-412e-818d-d9bff3e9b8ed"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=294C5AD37DFB4BDF93BB75FBAFE3F5C9&assignmentId=4387b333-5c4f-412e-818d-d9bff3e9b8ed&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","294C5AD37DFB4BDF93BB75FBAFE3F5C9-2025-05-16-15-43-33","","10927","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2",""
