"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","10920","0.0-0.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","","","","","","",""
"","","","","","instructions","1","694952","0.0-1.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","[{""page_index"":0,""viewing_time"":684025}]","684030","","","","",""
"","","","","","instructions","2","700401","0.0-2.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","[{""page_index"":0,""viewing_time"":5446}]","5447","","","","",""
"true","","","","","fullscreen","3","704033","0.0-3.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","","2618","","","","",""
"","","","","","initialize-microphone","4","751357","0.0-4.0-0.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","","","38bfb821805f498b2361bacef23a756a7d12fb68cc4de2fbd41c176beb9a4f0b","","","",""
"","","","","","html-audio-response","5","761276","0.0-4.0-1.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","","4209","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","6","762558","0.0-4.0-2.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","","1279","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","768671","0.0-5.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","[{""page_index"":0,""viewing_time"":1108},{""page_index"":1,""viewing_time"":3085},{""page_index"":2,""viewing_time"":1911}]","6104","","","","",""
"","","","","","image-button-response","8","774682","0.0-6.0-0.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","781451","0.0-7.0","2F8079230AA54FFAA59EFD5AB6343713","2F8079230AA54FFAA59EFD5AB6343713","0198c329-83f5-7ade-8507-1a25e4dabd10","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""2F8079230AA54FFAA59EFD5AB6343713"",""assignmentId"":""0198c329-83f5-7ade-8507-1a25e4dabd10"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=2F8079230AA54FFAA59EFD5AB6343713&assignmentId=0198c329-83f5-7ade-8507-1a25e4dabd10&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","2F8079230AA54FFAA59EFD5AB6343713-2025-08-19-16-45-00","","4849","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","9",""
