"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","10415","0.0-0.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","","","","","","",""
"","","","","","instructions","1","18081","0.0-1.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","[{""page_index"":0,""viewing_time"":7664}]","7664","","","","",""
"","","","","","instructions","2","22958","0.0-2.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","[{""page_index"":0,""viewing_time"":4876}]","4876","","","","",""
"true","","","","","fullscreen","3","26063","0.0-3.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","","2100","","","","",""
"","","","","","initialize-microphone","4","37067","0.0-4.0-0.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","","","2f0b940286e752b4ea7954b56cff3dbe5801df2b2d91697c6b52740d9d5c11eb","","","",""
"","","","","","html-audio-response","5","51158","0.0-4.0-1.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","","6524","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","6","52966","0.0-4.0-2.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","","1807","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","66277","0.0-5.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","[{""page_index"":0,""viewing_time"":1119},{""page_index"":1,""viewing_time"":3503},{""page_index"":2,""viewing_time"":8688}]","13310","","","","",""
"","","","","","image-button-response","8","72279","0.0-6.0-0.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","93151","0.0-7.0","3131700C1BDF401D84290275315C9AD4","3131700C1BDF401D84290275315C9AD4","4f0eb59b-8dfa-463a-bdcd-c197bca068c9","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""3131700C1BDF401D84290275315C9AD4"",""assignmentId"":""4f0eb59b-8dfa-463a-bdcd-c197bca068c9"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=3131700C1BDF401D84290275315C9AD4&assignmentId=4f0eb59b-8dfa-463a-bdcd-c197bca068c9&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","3131700C1BDF401D84290275315C9AD4-2025-05-28-17-32-57","","19737","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, in the exact order you saw them. Try to recall as many images as you can, but remember: getting the order right is more important than the number of images you recall.</p>""]","","1",""
