"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5906","0.0-0.0","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","","","","","",""
"","","","","","instructions","1","15072","0.0-1.0","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","[{""page_index"":0,""viewing_time"":9166}]","9166","","","","",""
"","","","","","instructions","2","19351","0.0-2.0","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","[{""page_index"":0,""viewing_time"":4278}]","4278","","","","",""
"true","","","","","fullscreen","3","21647","0.0-3.0","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","1292","","","","",""
"","","","","","initialize-microphone","4","27267","0.0-4.0-0.0","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","","","","","",""
"","","","","","html-audio-response","5","36487","0.0-4.0-1.0","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","927","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","10",""
"","","","","","html-button-response","6","38251","0.0-4.0-2.0","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","1763","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","7","39532","0.0-4.1-0.1","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","","ebd80cc3b09809b9978774de9e177d709ae979f64fafa8b7f52a18afdeba5726","","","",""
"","","","","","html-audio-response","8","48299","0.0-4.1-1.1","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","2260","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","1",""
"","","","","","html-button-response","9","50125","0.0-4.1-2.1","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","1824","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","10","52540","0.0-4.2-0.2","480FD71754F64F02888991DB1A7ABB5D","480FD71754F64F02888991DB1A7ABB5D","41075b9f-2f07-414e-8f25-9e2d8a624835","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""480FD71754F64F02888991DB1A7ABB5D"",""assignmentId"":""41075b9f-2f07-414e-8f25-9e2d8a624835"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=480FD71754F64F02888991DB1A7ABB5D&assignmentId=41075b9f-2f07-414e-8f25-9e2d8a624835&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","480FD71754F64F02888991DB1A7ABB5D-2025-05-15-23-40-29","","","ebd80cc3b09809b9978774de9e177d709ae979f64fafa8b7f52a18afdeba5726","","","",""
