"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","195660","0.0-0.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","","","","","",""
"","","","","","instructions","1","212265","0.0-1.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","[{""page_index"":0,""viewing_time"":16604}]","16604","","","","",""
"","","","","","instructions","2","222709","0.0-2.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","[{""page_index"":0,""viewing_time"":10442}]","10442","","","","",""
"true","","","","","fullscreen","3","225565","0.0-3.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","1820","","","","",""
"","","","","","initialize-microphone","4","227505","0.0-4.0-0.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","","IPZh4HN8TkjeIGtv5lF2O0yZGeUpT0EFvcsN5yRHV9U=","","","",""
"","","","","","html-audio-response","5","237922","0.0-4.0-1.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","3606","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","6","239313","0.0-4.0-2.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","1389","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","247763","0.0-5.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","[{""page_index"":0,""viewing_time"":1112},{""page_index"":1,""viewing_time"":3171},{""page_index"":2,""viewing_time"":4165}]","8449","","","","",""
"","","","","","image-button-response","8","253818","0.0-6.0-0.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","269691","0.0-7.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","14721","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1",""
"","","","","","instructions","10","270756","0.0-8.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","[{""page_index"":0,""viewing_time"":1054}]","1054","","","","",""
"","","","","","image-button-response","11","277153","0.0-9.0-0.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","null","","images/causal_sequence/the_performance_causal/the_performance_causal_0.png","null","",""
"","","","","","html-audio-response","12","312743","0.0-10.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","34688","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1","the_performance_causal"
"","","","","","image-button-response","13","318805","0.0-11.0-0.0","4DD24DDF64DB4E9FB276B8D9F50480E9","4DD24DDF64DB4E9FB276B8D9F50480E9","3e3676a3-a042-4aee-9421-c39346a08f6f","a647230e-5c99-4b66-bf2f-966bf482667d","{""part"":""2"",""participantId"":""4DD24DDF64DB4E9FB276B8D9F50480E9"",""assignmentId"":""3e3676a3-a042-4aee-9421-c39346a08f6f"",""projectId"":""a647230e-5c99-4b66-bf2f-966bf482667d""}","https://test12345.live/?part=2&participantId=4DD24DDF64DB4E9FB276B8D9F50480E9&assignmentId=3e3676a3-a042-4aee-9421-c39346a08f6f&projectId=a647230e-5c99-4b66-bf2f-966bf482667d","4DD24DDF64DB4E9FB276B8D9F50480E9-2025-05-16-20-10-31","","null","","images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png","null","",""
