"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","731","0.0-0.0","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","","","","","","",""
"","","","","","instructions","1","6949","0.0-1.0","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","[{""page_index"":0,""viewing_time"":6218}]","6218","","","","",""
"","","","","","instructions","2","9149","0.0-2.0","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","[{""page_index"":0,""viewing_time"":2199}]","2199","","","","",""
"true","","","","","fullscreen","3","11021","0.0-3.0","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","","871","","","","",""
"","","","","","initialize-microphone","4","13349","0.0-4.0-0.0","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","","","6b9bcd2fd885deca0527d9f8b3c1e0cdfa4f5d2b764429688b570849912f11ac","","","",""
"","","","","","html-audio-response","5","16725","0.0-4.0-1.0","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","","1000","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","1",""
"","","","","","html-button-response","6","18021","0.0-4.0-2.0","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","","1295","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","7","20159","0.0-4.1-0.1","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","","","6b9bcd2fd885deca0527d9f8b3c1e0cdfa4f5d2b764429688b570849912f11ac","","","",""
"","","","","","html-audio-response","8","24565","0.0-4.1-1.1","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","","1310","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","1",""
"","","","","","html-button-response","9","25349","0.0-4.1-2.1","566DE7EF91D74926BD631D55854ED087","566DE7EF91D74926BD631D55854ED087","aba0ba8c-b647-46a1-a149-87cc9954bef4","9596d7a2-d401-47b1-aedd-70105f5f2f42","{""part"":""2"",""participantId"":""566DE7EF91D74926BD631D55854ED087"",""assignmentId"":""aba0ba8c-b647-46a1-a149-87cc9954bef4"",""projectId"":""9596d7a2-d401-47b1-aedd-70105f5f2f42""}","https://test12345.live/?part=2&participantId=566DE7EF91D74926BD631D55854ED087&assignmentId=aba0ba8c-b647-46a1-a149-87cc9954bef4&projectId=9596d7a2-d401-47b1-aedd-70105f5f2f42","566DE7EF91D74926BD631D55854ED087-2025-05-28-21-51-40","","784","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
