"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","64790","0.0-0.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","","","","","","",""
"","","","","","instructions","1","89822","0.0-1.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","[{""page_index"":0,""viewing_time"":25030}]","25030","","","","",""
"","","","","","instructions","2","93270","0.0-2.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","[{""page_index"":0,""viewing_time"":3447}]","3448","","","","",""
"true","","","","","fullscreen","3","95494","0.0-3.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","","1222","","","","",""
"","","","","","initialize-microphone","4","100752","0.0-4.0-0.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","","","4e6375301127a973dfaf5ba6f0ab91656b1f45e53e3fec1d8444c5c6cfc0a7c1","","","",""
"","","","","","html-audio-response","5","107839","0.0-4.0-1.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","","2786","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","7",""
"","","","","","html-button-response","6","108961","0.0-4.0-2.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","","1120","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","115196","0.0-5.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","[{""page_index"":0,""viewing_time"":1004},{""page_index"":1,""viewing_time"":3609},{""page_index"":2,""viewing_time"":1621}]","6234","","","","",""
"","","","","","image-button-response","8","121199","0.0-6.0-0.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","131266","0.0-7.0","594C1B37809840A7AB34C9801D7ABA82","594C1B37809840A7AB34C9801D7ABA82","f72b3a4d-8b04-4f16-b7af-e6c028df89cf","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""594C1B37809840A7AB34C9801D7ABA82"",""assignmentId"":""f72b3a4d-8b04-4f16-b7af-e6c028df89cf"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=594C1B37809840A7AB34C9801D7ABA82&assignmentId=f72b3a4d-8b04-4f16-b7af-e6c028df89cf&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","594C1B37809840A7AB34C9801D7ABA82-2025-05-16-19-06-11","","9386","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","3",""
