"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5470","0.0-0.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","","","","","","",""
"","","","","","instructions","1","35706","0.0-1.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","[{""page_index"":0,""viewing_time"":30235}]","30236","","","","",""
"","","","","","instructions","2","40979","0.0-2.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","[{""page_index"":0,""viewing_time"":5273}]","5273","","","","",""
"true","","","","","fullscreen","3","43502","0.0-3.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","","1520","","","","",""
"","","","","","initialize-microphone","4","46822","0.0-4.0-0.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","","","1309cea25d7edb88d34f0047266eea6537128388bc4c9932bdab86508992c1b2","","","",""
"","","","","","html-audio-response","5","53580","0.0-4.0-1.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","","2456","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","55191","0.0-4.0-2.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","","1610","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","68766","0.0-5.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","[{""page_index"":0,""viewing_time"":1192},{""page_index"":1,""viewing_time"":5100},{""page_index"":2,""viewing_time"":7283}]","13575","","","","",""
"","","","","","image-button-response","8","74770","0.0-6.0-0.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","95961","0.0-7.0","5BEA0D28B2504B58AF4CA418A3D38773","5BEA0D28B2504B58AF4CA418A3D38773","0198f3ab-819d-706f-b835-49a4bfcd6b8c","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""5BEA0D28B2504B58AF4CA418A3D38773"",""assignmentId"":""0198f3ab-819d-706f-b835-49a4bfcd6b8c"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=5BEA0D28B2504B58AF4CA418A3D38773&assignmentId=0198f3ab-819d-706f-b835-49a4bfcd6b8c&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","5BEA0D28B2504B58AF4CA418A3D38773-2025-08-29-02-45-45","","16528","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","4",""
