"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","11449","0.0-0.0","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","","","","","","",""
"","","","","","instructions","1","19988","0.0-1.0","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","[{""page_index"":0,""viewing_time"":8537}]","8538","","","","",""
"","","","","","instructions","2","22687","0.0-2.0","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","[{""page_index"":0,""viewing_time"":2698}]","2699","","","","",""
"true","","","","","fullscreen","3","24775","0.0-3.0","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","","1081","","","","",""
"","","","","","initialize-microphone","4","36931","0.0-4.0-0.0","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","","","6ce9167e6ef4d73569bed0a212a2d4c2111c0ab314a660a82ddf382faa32e6cd","","","",""
"","","","","","html-audio-response","5","40658","0.0-4.0-1.0","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","","1228","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","6",""
"","","","","","html-button-response","6","43089","0.0-4.0-2.0","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","","2429","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","7","44309","0.0-4.1-0.1","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","","","6ce9167e6ef4d73569bed0a212a2d4c2111c0ab314a660a82ddf382faa32e6cd","","","",""
"","","","","","html-audio-response","8","51624","0.0-4.1-1.1","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","","1937","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","9","52457","0.0-4.1-2.1","622E7D8A2D5041BABE739B8EFA8E3603","622E7D8A2D5041BABE739B8EFA8E3603","f8a12400-ef85-4f01-9f79-8b52d056570a","920300cb-ef92-407e-8025-8071213f24fb","{""part"":""2"",""participantId"":""622E7D8A2D5041BABE739B8EFA8E3603"",""assignmentId"":""f8a12400-ef85-4f01-9f79-8b52d056570a"",""projectId"":""920300cb-ef92-407e-8025-8071213f24fb""}","https://test12345.live/?part=2&participantId=622E7D8A2D5041BABE739B8EFA8E3603&assignmentId=f8a12400-ef85-4f01-9f79-8b52d056570a&projectId=920300cb-ef92-407e-8025-8071213f24fb","622E7D8A2D5041BABE739B8EFA8E3603-2025-05-23-19-08-21","","831","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
