"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5487","0.0-0.0","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","","","","","","",""
"","","","","","instructions","1","20093","0.0-1.0","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","[{""page_index"":0,""viewing_time"":14604}]","14605","","","","",""
"","","","","","instructions","2","31290","0.0-2.0","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","[{""page_index"":0,""viewing_time"":11197}]","11197","","","","",""
"true","","","","","fullscreen","3","33745","0.0-3.0","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","","1450","","","","",""
"","","","","","initialize-microphone","4","40397","0.0-4.0-0.0","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","","","8aa0bb59cc893de2bc29460ca553369b9dc9c9ab857e587613824ce30684bf0a","","","",""
"","","","","","html-audio-response","5","117010","0.0-4.0-1.0","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","","3001","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","7",""
"","","","","","html-button-response","6","118861","0.0-4.0-2.0","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","","1850","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","0","",""
"","","","","","initialize-microphone","7","121477","0.0-4.1-0.1","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","","","5570c54e3f6094f217e5835af2ca207a5921b8edb884785a45b100176bddda6f","","","",""
"","","","","","html-audio-response","8","128779","0.0-4.1-1.1","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","","2032","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","10",""
"","","","","","html-button-response","9","129898","0.0-4.1-2.1","6BC16C056BF144C7A59F36298473D7F1","6BC16C056BF144C7A59F36298473D7F1","7a735f49-d712-423b-9fff-6b297b1b5891","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""6BC16C056BF144C7A59F36298473D7F1"",""assignmentId"":""7a735f49-d712-423b-9fff-6b297b1b5891"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=6BC16C056BF144C7A59F36298473D7F1&assignmentId=7a735f49-d712-423b-9fff-6b297b1b5891&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","6BC16C056BF144C7A59F36298473D7F1-2025-05-16-18-26-44","","1117","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
