"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","1272","0.0-0.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","","","","","","",""
"","","","","","instructions","1","16457","0.0-1.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","[{""page_index"":0,""viewing_time"":15184}]","15184","","","","",""
"","","","","","instructions","2","20543","0.0-2.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","[{""page_index"":0,""viewing_time"":4085}]","4085","","","","",""
"true","","","","","fullscreen","3","23404","0.0-3.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","","1852","","","","",""
"","","","","","initialize-microphone","4","29727","0.0-4.0-0.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","","","9ead6b3b1232dd555b9ee9d36d2ae8ae7a328e0aea0960a4d5ff7fb63803646a","","","",""
"","","","","","html-audio-response","5","33975","0.0-4.0-1.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","","2721","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","15",""
"","","","","","html-button-response","6","35477","0.0-4.0-2.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","","1500","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","45601","0.0-5.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","[{""page_index"":0,""viewing_time"":1599},{""page_index"":1,""viewing_time"":3276},{""page_index"":2,""viewing_time"":5246}]","10123","","","","",""
"","","","","","image-button-response","8","51624","0.0-6.0-0.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","76386","0.0-7.0","7AA92B1CB5674A608F501EB531B7AA8E","7AA92B1CB5674A608F501EB531B7AA8E","48c9a319-c189-4fd2-bbad-4100dc02acae","81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","{""part"":""2"",""participantId"":""7AA92B1CB5674A608F501EB531B7AA8E"",""assignmentId"":""48c9a319-c189-4fd2-bbad-4100dc02acae"",""projectId"":""81dd14e9-200e-48d1-afc5-b6c2b3ebd11b""}","https://test12345.live/?part=2&participantId=7AA92B1CB5674A608F501EB531B7AA8E&assignmentId=48c9a319-c189-4fd2-bbad-4100dc02acae&projectId=81dd14e9-200e-48d1-afc5-b6c2b3ebd11b","7AA92B1CB5674A608F501EB531B7AA8E-2025-05-15-19-03-33","","22795","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1",""
