"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","2421","0.0-0.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","","","","","","",""
"","","","","","instructions","1","89190","0.0-1.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","[{""page_index"":0,""viewing_time"":86769}]","86769","","","","",""
"","","","","","instructions","2","90972","0.0-2.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","[{""page_index"":0,""viewing_time"":1782}]","1782","","","","",""
"true","","","","","fullscreen","3","92691","0.0-3.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","","716","","","","",""
"","","","","","initialize-microphone","4","94091","0.0-4.0-0.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","","","df2c82e7f20c4942cedbaeb2867f26d8547fd371170e979927641692eba1ad9c","","","",""
"","","","","","html-audio-response","5","103973","0.0-4.0-1.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","","3296","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","10",""
"","","","","","html-button-response","6","105872","0.0-4.0-2.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","","1898","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","161722","0.0-5.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","[{""page_index"":0,""viewing_time"":6199},{""page_index"":1,""viewing_time"":4384},{""page_index"":2,""viewing_time"":45266}]","55849","","","","",""
"","","","","","image-button-response","8","167726","0.0-6.0-0.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","260873","0.0-7.0","945B815AA9D04EDBA58B91E4C01FA46D","945B815AA9D04EDBA58B91E4C01FA46D","0198c322-ffcc-7132-b467-d8fdb14286c0","0198c320-653a-770c-93e4-41e10e7faa5f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""945B815AA9D04EDBA58B91E4C01FA46D"",""assignmentId"":""0198c322-ffcc-7132-b467-d8fdb14286c0"",""projectId"":""0198c320-653a-770c-93e4-41e10e7faa5f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=945B815AA9D04EDBA58B91E4C01FA46D&assignmentId=0198c322-ffcc-7132-b467-d8fdb14286c0&projectId=0198c320-653a-770c-93e4-41e10e7faa5f","945B815AA9D04EDBA58B91E4C01FA46D-2025-08-19-16-39-02","","28820","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2",""
