"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","32853","0.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","","","","","",""
"","","","","","instructions","1","44017","0.0-1.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","[{""page_index"":0,""viewing_time"":11163}]","11163","","","","",""
"","","","","","instructions","2","53010","0.0-2.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","[{""page_index"":0,""viewing_time"":8994}]","8994","","","","",""
"true","","","","","fullscreen","3","55373","0.0-3.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","1360","","","","",""
"","","","","","initialize-microphone","4","56890","0.0-4.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","","45998441f9fa3ebf2cbd601af3a7ef44cb3a7c403997e0e53c8227ea57707a3c","","","",""
"","","","","","html-audio-response","5","66745","0.0-4.0-1.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","3226","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","6","104026","0.0-4.0-2.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","37281","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","118804","0.0-5.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","[{""page_index"":0,""viewing_time"":1306},{""page_index"":1,""viewing_time"":1234},{""page_index"":2,""viewing_time"":12239}]","14778","","","","",""
"","","","","","image-button-response","8","124814","0.0-6.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","137647","0.0-7.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","11595","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","0",""
"","","","","","instructions","10","138745","0.0-8.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","[{""page_index"":0,""viewing_time"":1096}]","1096","","","","",""
"","","","","","image-button-response","11","144759","0.0-9.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","null","","images/semantic_sequence/exploring_nature_semantic/exploring_nature_semantic_0.png","null","",""
"","","","","","html-audio-response","12","439162","0.0-10.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","15168","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1","exploring_nature_semantic"
"","","","","","image-button-response","13","445168","0.0-11.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","null","","images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_0.png","null","",""
"","","","","","html-audio-response","14","459465","0.0-12.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","13762","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","0","dinner_party_scheme"
"","","","","","image-button-response","15","465475","0.0-13.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","null","","images/schematic_sequence/flight_scheme/flight_scheme_0.png","null","",""
"","","","","","html-audio-response","16","485688","0.0-14.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","19467","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","0","flight_scheme"
"","","","","","image-button-response","17","491699","0.0-15.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","null","","images/semantic_sequence/redecorating_semantic/redecorating_semantic_0.png","null","",""
"","","","","","html-audio-response","18","507668","0.0-16.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","14503","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","0","redecorating_semantic"
"","","","","","image-button-response","19","513841","0.0-17.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","null","","images/causal_sequence/dog_causal/dog_causal_0.png","null","",""
"","","","","","html-audio-response","20","531082","0.0-18.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","13648","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2517","dog_causal"
"","","","","","image-button-response","21","537838","0.0-19.0-0.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","null","","images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_0.png","null","",""
"","","","","","html-audio-response","22","551362","0.0-20.0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","9FC28CBD7BE24C8B89A0762C1B3CE6A0","1bd0adda-d75f-4f80-bc55-6fa4e955db17","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""9FC28CBD7BE24C8B89A0762C1B3CE6A0"",""assignmentId"":""1bd0adda-d75f-4f80-bc55-6fa4e955db17"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=9FC28CBD7BE24C8B89A0762C1B3CE6A0&assignmentId=1bd0adda-d75f-4f80-bc55-6fa4e955db17&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","9FC28CBD7BE24C8B89A0762C1B3CE6A0-2025-05-16-19-00-35","","11306","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1501","kitchen_operations_semantic"
