"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","3029","0.0-0.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","","","","","","",""
"","","","","","instructions","1","9040","0.0-1.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","[{""page_index"":0,""viewing_time"":6010}]","6010","","","","",""
"","","","","","instructions","2","26024","0.0-2.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","[{""page_index"":0,""viewing_time"":16984}]","16985","","","","",""
"true","","","","","fullscreen","3","28359","0.0-3.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","","1326","","","","",""
"","","","","","initialize-microphone","4","44392","0.0-4.0-0.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","","","e451aa121ea608516a348a3bc1357f81feefb37ea7c895654a36405348097ece","","","",""
"","","","","","html-audio-response","5","54107","0.0-4.0-1.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","","4338","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","55186","0.0-4.0-2.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","","1078","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","72833","0.0-5.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","[{""page_index"":0,""viewing_time"":921},{""page_index"":1,""viewing_time"":7254},{""page_index"":2,""viewing_time"":9471}]","17647","","","","",""
"","","","","","image-button-response","8","78850","0.0-6.0-0.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","142912","0.0-7.0","A71D83B0007549B9A33C2DAD27DD77F3","A71D83B0007549B9A33C2DAD27DD77F3","0198bef0-ba11-74ef-ae9c-dd3c72aaea52","0198beef-981a-7243-9790-051e10551090","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""A71D83B0007549B9A33C2DAD27DD77F3"",""assignmentId"":""0198bef0-ba11-74ef-ae9c-dd3c72aaea52"",""projectId"":""0198beef-981a-7243-9790-051e10551090""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=A71D83B0007549B9A33C2DAD27DD77F3&assignmentId=0198bef0-ba11-74ef-ae9c-dd3c72aaea52&projectId=0198beef-981a-7243-9790-051e10551090","A71D83B0007549B9A33C2DAD27DD77F3-2025-08-18-21-02-47","","15676","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1",""
