"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","677","0.0-0.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","","","","","","",""
"","","","","","instructions","1","13337","0.0-1.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","[{""page_index"":0,""viewing_time"":12658}]","12659","","","","",""
"","","","","","instructions","2","17943","0.0-2.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","[{""page_index"":0,""viewing_time"":4602}]","4602","","","","",""
"true","","","","","fullscreen","3","20976","0.0-3.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","","2018","","","","",""
"","","","","","initialize-microphone","4","23193","0.0-4.0-0.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","","","003622655160d86af9a85a89fc84810281aa2f29da59593c1f385a1b9b0cd63a","","","",""
"","","","","","html-audio-response","5","34239","0.0-4.0-1.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","","4253","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","6","35502","0.0-4.0-2.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","","1262","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","47019","0.0-5.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","[{""page_index"":0,""viewing_time"":1134},{""page_index"":1,""viewing_time"":5026},{""page_index"":2,""viewing_time"":5356}]","11517","","","","",""
"","","","","","image-button-response","8","53041","0.0-6.0-0.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","101481","0.0-7.0","BDBBB366103E490B9C58A230957AB0D7","BDBBB366103E490B9C58A230957AB0D7","85d75fea-dfff-45dd-b92b-c9a4f5dcd66b","2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","{""part"":""2"",""participantId"":""BDBBB366103E490B9C58A230957AB0D7"",""assignmentId"":""85d75fea-dfff-45dd-b92b-c9a4f5dcd66b"",""projectId"":""2dd913a0-fd4c-43f1-b4f3-f0d48537bce8""}","https://test12345.live/?part=2&participantId=BDBBB366103E490B9C58A230957AB0D7&assignmentId=85d75fea-dfff-45dd-b92b-c9a4f5dcd66b&projectId=2dd913a0-fd4c-43f1-b4f3-f0d48537bce8","BDBBB366103E490B9C58A230957AB0D7-2025-05-16-16-46-52","","23154","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1",""
