"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","15732","0.0-0.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","","","","","","",""
"","","","","","instructions","1","61851","0.0-1.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","[{""page_index"":0,""viewing_time"":46118}]","46119","","","","",""
"","","","","","instructions","2","66162","0.0-2.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","[{""page_index"":0,""viewing_time"":4310}]","4311","","","","",""
"true","","","","","fullscreen","3","69617","0.0-3.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","","2434","","","","",""
"","","","","","initialize-microphone","4","74669","0.0-4.0-0.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","","","c3c0e259ae5932d4c327cf2765f31d7bd13dff0bcd977f93fcfa810ab9d85cd5","","","",""
"","","","","","html-audio-response","5","82712","0.0-4.0-1.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","","2845","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","99051","0.0-4.0-2.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","","16337","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","113933","0.0-5.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","[{""page_index"":0,""viewing_time"":1712},{""page_index"":1,""viewing_time"":6253},{""page_index"":2,""viewing_time"":6916}]","14881","","","","",""
"","","","","","image-button-response","8","119940","0.0-6.0-0.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","207984","0.0-7.0","C083122313ED412FA4EB27591D1A7887","C083122313ED412FA4EB27591D1A7887","5724778a-e1ce-441e-a85c-c9e79665f030","3ce68dc4-89da-4770-948e-944f675a4a4c","{""part"":""2"",""participantId"":""C083122313ED412FA4EB27591D1A7887"",""assignmentId"":""5724778a-e1ce-441e-a85c-c9e79665f030"",""projectId"":""3ce68dc4-89da-4770-948e-944f675a4a4c""}","https://test12345.live/?part=2&participantId=C083122313ED412FA4EB27591D1A7887&assignmentId=5724778a-e1ce-441e-a85c-c9e79665f030&projectId=3ce68dc4-89da-4770-948e-944f675a4a4c","C083122313ED412FA4EB27591D1A7887-2025-05-28-15-53-05","","29858","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, in the exact order you saw them. Try to recall as many images as you can, but remember: getting the order right is more important than the number of images you recall.</p>""]","","3",""
