"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","12942","0.0-0.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","","","","","","",""
"","","","","","instructions","1","48760","0.0-1.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","[{""page_index"":0,""viewing_time"":35817}]","35817","","","","",""
"","","","","","instructions","2","60730","0.0-2.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","[{""page_index"":0,""viewing_time"":11969}]","11969","","","","",""
"true","","","","","fullscreen","3","79085","0.0-3.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","","17347","","","","",""
"","","","","","initialize-microphone","4","91290","0.0-4.0-0.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","","","bc86366c32ecc83f7e6ec0dd08937bb7e5191c19a28ff64afd09099d52788d42","","","",""
"","","","","","html-audio-response","5","127652","0.0-4.0-1.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","","6500","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","7",""
"","","","","","html-button-response","6","130686","0.0-4.0-2.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","","3033","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","191998","0.0-5.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","[{""page_index"":0,""viewing_time"":1845},{""page_index"":1,""viewing_time"":51994},{""page_index"":2,""viewing_time"":7472}]","61311","","","","",""
"","","","","","image-button-response","8","198011","0.0-6.0-0.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","306692","0.0-7.0","DDF654B04475461CAA83D9BFD3636F52","DDF654B04475461CAA83D9BFD3636F52","0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8","0198c075-3de9-7cab-996b-8cffe1adb15f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""DDF654B04475461CAA83D9BFD3636F52"",""assignmentId"":""0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8"",""projectId"":""0198c075-3de9-7cab-996b-8cffe1adb15f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=DDF654B04475461CAA83D9BFD3636F52&assignmentId=0198c2ab-92e4-7db9-9dc2-8a8cc860a5c8&projectId=0198c075-3de9-7cab-996b-8cffe1adb15f","DDF654B04475461CAA83D9BFD3636F52-2025-08-19-14-31-08","","54160","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","3",""
