"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","2306","0.0-0.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","","","","","","",""
"","","","","","instructions","1","102957","0.0-1.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","[{""page_index"":0,""viewing_time"":100650}]","100651","","","","",""
"","","","","","instructions","2","118796","0.0-2.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","[{""page_index"":0,""viewing_time"":15839}]","15839","","","","",""
"true","","","","","fullscreen","3","142951","0.0-3.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","","23143","","","","",""
"","","","","","initialize-microphone","4","148635","0.0-4.0-0.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","","","a7d3c88f4172c52045d2a4e197cbb2f9a1174b78b80097d510c5b69c0937c3fd","","","",""
"","","","","","html-audio-response","5","189111","0.0-4.0-1.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","","10970","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","191612","0.0-4.0-2.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","","2500","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","360894","0.0-5.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","[{""page_index"":0,""viewing_time"":1517},{""page_index"":1,""viewing_time"":10737},{""page_index"":2,""viewing_time"":157028}]","169281","","","","",""
"","","","","","image-button-response","8","366904","0.0-6.0-0.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","401482","0.0-7.0","DEC5132B288E4538812F16A18F825FD5","DEC5132B288E4538812F16A18F825FD5","ad604f69-7022-4914-b032-a3bce0015b63","e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","{""part"":""2"",""participantId"":""DEC5132B288E4538812F16A18F825FD5"",""assignmentId"":""ad604f69-7022-4914-b032-a3bce0015b63"",""projectId"":""e9cc2542-c7dc-4d8f-b94f-d088ad8989d1""}","https://test12345.live/?part=2&participantId=DEC5132B288E4538812F16A18F825FD5&assignmentId=ad604f69-7022-4914-b032-a3bce0015b63&projectId=e9cc2542-c7dc-4d8f-b94f-d088ad8989d1","DEC5132B288E4538812F16A18F825FD5-2025-05-16-19-35-47","","16246","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","1",""
