"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","28092","0.0-0.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","","","","","","",""
"","","","","","instructions","1","41250","0.0-1.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","[{""page_index"":0,""viewing_time"":13151}]","13152","","","","",""
"","","","","","instructions","2","44640","0.0-2.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","[{""page_index"":0,""viewing_time"":3375}]","3376","","","","",""
"true","","","","","fullscreen","3","47633","0.0-3.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","","1987","","","","",""
"","","","","","initialize-microphone","4","65082","0.0-4.0-0.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","","","952d8cb5506e3d4454d2c1586bc785ee2f0e6b450637078a198722f64264f769","","","",""
"","","","","","html-audio-response","5","80717","0.0-4.0-1.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","","5463","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","15",""
"","","","","","html-button-response","6","82633","0.0-4.0-2.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","","1912","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","101198","0.0-5.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","[{""page_index"":0,""viewing_time"":2306},{""page_index"":1,""viewing_time"":9721},{""page_index"":2,""viewing_time"":6535}]","18563","","","","",""
"","","","","","image-button-response","8","107225","0.0-6.0-0.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","131298","0.0-7.0","EC07396CE23248F2855499612FEB8ACA","EC07396CE23248F2855499612FEB8ACA","0198f414-4e6f-73a4-810c-bbf754c89f43","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""EC07396CE23248F2855499612FEB8ACA"",""assignmentId"":""0198f414-4e6f-73a4-810c-bbf754c89f43"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=EC07396CE23248F2855499612FEB8ACA&assignmentId=0198f414-4e6f-73a4-810c-bbf754c89f43&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","EC07396CE23248F2855499612FEB8ACA-2025-08-29-04-49-55","","21408","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","3",""
