"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","373","0.0-0.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","","","","","","",""
"","","","","","instructions","1","2437","0.0-1.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","[{""page_index"":0,""viewing_time"":2063}]","2063","","","","",""
"","","","","","instructions","2","4692","0.0-2.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","[{""page_index"":0,""viewing_time"":2248}]","2248","","","","",""
"true","","","","","fullscreen","3","6917","0.0-3.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","","1223","","","","",""
"","","","","","initialize-microphone","4","29860","0.0-4.0-0.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","","","53f28a877f6599c740caa800dc23624f51fa5bbcd1b1a1ded038d292d93582d7","","","",""
"","","","","","html-audio-response","5","31527","0.0-4.0-1.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","","638","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","32242","0.0-4.0-2.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","","714","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","34745","0.0-5.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","[{""page_index"":0,""viewing_time"":930},{""page_index"":1,""viewing_time"":789},{""page_index"":2,""viewing_time"":784}]","2503","","","","",""
"","","","","","image-button-response","8","36251","0.0-6.0-0.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","39284","0.0-7.0","user1","user1","","","{""participantId"":""user1"",""fast_test"":""1"",""num_seqs"":""1"",""part"":""2""}","https://test12345.live/?participantId=user1&fast_test=1&num_seqs=1&part=2","user1-2024-11-24-07-55-43","","2299","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in part 1 of the experiment, as many as you can remember. The images can be said in any order.</p>""]","","2",""
